"","h2","mutualistic_strength","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness","temp_of_collapse","abruptness"
"75",0,5,20,"high",1,20.1663066964829,16.9174429725778,17.7296589035541,22.0407280465666,52.8324499506493,74.8731779972159,5,16,21,0,0
"76",0.4,5,20,"high",1,19.9999999999985,19.9999999999985,19.9999999999985,67.4750685809431,110.379847142145,177.854915723089,6,18,24,0,0
"77",0,0.5,28,"high",1,21.1612628441071,17.733283660685,18.5902784565405,-2.61659424379188e-08,0.0139538417626608,0.0139538155967184,0,1,1,0,0
"78",0.4,0.5,28,"high",1,14.2289528482242,23.5620811427834,21.2287990691436,-2.36058371220989e-08,1.39462984967668,1.39462982607084,0,6,6,0,0
"79",0,0.75,28,"high",1,18.9713853830472,18.4778137035513,18.6012066234252,1.01928258999422e-09,0.0613813956547518,0.0613813966740344,0,1,1,0,0
"80",0.4,0.75,28,"high",1,20.1938691516934,20.2937817604559,20.2688036082653,0.627811955549264,1.11650207495737,1.74431403050663,2,3,5,0,0
"81",0,1,28,"high",1,17.98234422924,19.1801990991614,18.880735381681,0.0663666495848429,0.118355732515225,0.184722382100068,1,2,3,0,0
"82",0.4,1,28,"high",1,16.3734220441295,20.0351239136563,19.1196984462746,-3.76804377856093e-08,0.465600107911749,0.465600070231312,0,2,2,0,0
"83",0,1.25,28,"high",1,15.6789975066204,17.3432244117915,16.9271676854987,-9.02034729792995e-09,-5.09999773026822e-08,-6.00203246006122e-08,0,0,0,0,0
"84",0.4,1.25,28,"high",1,19.788444461065,18.7103145121576,18.9798469993845,0.233063659964569,0.464831762410499,0.697895422375068,1,2,3,0,0
"85",0,1.5,28,"high",1,16.4425047970144,17.1490107172091,16.9723842371604,0.0112364147238283,0.0313671677091717,0.042603582433,1,1,2,0,0
"86",0.4,1.5,28,"high",1,16.1660596424518,18.5634981339356,17.9641385110646,-2.17535684185284e-08,0.465422879716543,0.465422857962975,0,2,2,0,0
"87",0,1.75,28,"high",1,18.7677206768421,17.0068240187053,17.4470481832395,0.0277697119606964,0.0237944210377958,0.0515641329984923,1,1,2,0,0
"88",0.4,1.75,28,"high",1,16.1244631230381,16.1244631230379,16.1244631230379,25.4737008853986,61.085147426942,86.5588483123405,6,18,24,0,0
"89",0,2,28,"high",1,18.5457162809325,17.9221017532594,18.0780053851777,1.60946830633432,3.87387062206124,5.48333892839557,1,4,5,0,0
"90",0.4,2,28,"high",1,20.614291796582,24.4048923953074,23.4572422456261,2.42370119754352,6.2915597443161,8.71526094185962,2,4,6,0,0
"91",0,2.25,28,"high",1,18.8051976152929,19.1478938165043,19.0622197662015,12.8544767618934,24.1987667828502,37.0532435447436,6,18,24,0,0
"92",0.4,2.25,28,"high",1,15.4330403477111,15.433040347711,15.433040347711,26.5355930434698,50.4960871156491,77.0316801591189,6,13,19,0,0
"93",0,2.5,28,"high",1,18.1816687603714,16.21851985304,16.7093070798728,2.30824795838189,6.80890082901731,9.1171487873992,3,10,13,0,0
"94",0.4,2.5,28,"high",1,16.3778856493608,16.3778856493608,16.3778856493608,39.6100980992709,82.0074096775873,121.617507776858,6,18,24,0,0
"95",0,2.75,28,"high",1,15.4543861019192,16.625112251689,16.3324307142466,11.9276302007639,29.2335625238546,41.1611927246185,5,14,19,0,0
"96",0.4,2.75,28,"high",1,17.3822073617417,17.3822073619445,17.3822073618938,43.0377887684581,85.8832704957583,128.921059264216,6,18,24,0,0
"97",0,3,28,"high",1,16.8993881577626,16.8528352138431,16.864473449823,12.5007356489876,24.4639291061265,36.9646647551141,6,16,22,0,0
"98",0.4,3,28,"high",1,18.4027298548641,18.4027300170996,18.4027299765407,46.0825788228015,88.9822271951,135.064806017902,6,18,24,0,0
"99",0,3.25,28,"high",1,14.4754092663061,17.8835562001526,17.031519466691,19.8149129092634,49.0009675362702,68.8158804455336,4,17,21,0,0
"100",0.4,3.25,28,"high",1,15.128165339438,15.1281653394378,15.1281653394379,48.7841236460589,91.4792921442156,140.263415790275,6,18,24,0,0
"101",0,3.5,28,"high",1,20.7406302768504,17.8792269167025,18.5945777567395,20.3383614917922,43.4379848404247,63.7763463322169,6,17,23,0,0
"102",0.4,3.5,28,"high",1,16.0237289556326,16.0237289556331,16.0237289556329,51.2382118201976,93.5558157076024,144.7940275278,6,18,24,0,0
"103",0,3.75,28,"high",1,17.9056914220564,16.8213743679614,17.0924536314851,14.714664046086,33.2786816872403,47.9933457333262,6,18,24,0,0
"104",0.4,3.75,28,"high",1,16.6407746686639,16.6407746686639,16.6407746686639,53.4951550144564,95.3167646547476,148.811919669204,6,18,24,0,0
"105",0,4,28,"high",1,17.120444541797,17.0082697027829,17.0363134125364,28.3667299239983,62.0321416140097,90.3988715380079,6,18,24,0,0
"106",0.4,4,28,"high",1,17.0136637596872,17.013663759616,17.0136637596338,55.5577450567589,96.8063925061579,152.364137562917,6,18,24,0,0
"107",0,4.25,28,"high",1,20.2180960553233,14.8835765409361,16.2172064195329,24.6048528777494,41.1798506177086,65.7847034954581,6,16,22,0,0
"108",0.4,4.25,28,"high",1,16.9237067625978,16.9237067626085,16.9237067626058,57.459473047437,98.0884919967074,155.547965044144,6,18,24,0,0
"109",0,4.5,28,"high",1,20.7766352256294,15.4023504833458,16.7459216689167,17.3645155680711,31.8001256459712,49.1646412140423,6,13,19,0,0
"110",0.4,4.5,28,"high",1,19.8209615691041,19.8209698783214,19.8209678010171,59.2304537651139,99.2056269919255,158.436080757039,6,18,24,0,0
"111",0,4.75,28,"high",1,16.7736590775894,17.1147580931817,17.0294833392836,22.9024015250811,48.8779074155316,71.7803089406127,6,18,24,0,0
"112",0.4,4.75,28,"high",1,17.0136633318489,17.0136633317233,17.0136633317547,60.861812250859,100.172739941339,161.034552192198,6,18,24,0,0
"113",0,5,28,"high",1,21.842607264407,16.6520895341334,17.9497189667018,26.9870051818167,52.0312111440922,79.0182163259089,6,18,24,0,0
"114",0.4,5,28,"high",1,17.3035297853673,17.3035297844007,17.3035297846423,62.3927384350379,101.031091927855,163.423830362893,6,18,24,0,0
"115",0,0.5,40,"high",1,15.7698754535522,15.8353630146788,15.8189911243971,-1.40926932055448e-08,-4.20724469160181e-08,-5.6165140121563e-08,0,0,0,0,0
"116",0.4,0.5,40,"high",1,17.1404373682448,17.1954752238745,17.1817157599671,-8.0442622683728e-09,-2.36028515313421e-08,-3.16471137997149e-08,0,0,0,0,0
"117",0,0.75,40,"high",1,18.0588807130698,16.5166534925811,16.9022102977033,-1.49172879497812e-08,-4.30654292145694e-08,-5.79827171643506e-08,0,0,0,0,0
